company.founded,demographics.age,demographics.gender,location.citizenship,location.region,wealth.how.industry,wealth.how.inherited
1971,81,male,Colombia,Latin America,Money Management,not inherited
1926,63,male,Turkey,Middle East/North Africa,Consumer,father
1976,50,female,United States,North America,Technology-Computer,spouse/widow
1980,71,male,United States,North America,Private equity/leveraged buyout,not inherited
1914,88,male,France,Europe,Other,father
1867,63,male,Germany,Europe,"Retail, Restaurant",3rd generation
1976,60,male,Malaysia,East Asia,Mining and metals,not inherited
1914,76,male,France,Europe,Other,father
1924,78,male,United States,North America,Real Estate,not inherited
1949,60,male,Germany,Europe,Consumer,father
1963,52,male,Japan,East Asia,"Retail, Restaurant",not inherited
1985,69,male,Cyprus,Europe,Other,not inherited
1990,63,male,Russia,Europe,Energy,not inherited
1936,72,male,United States,North America,Media,father
1960,0,male,France,Europe,"Retail, Restaurant",not inherited
1904,46,male,Germany,Europe,Hedge funds,father
1994,58,male,United States,North America,Hedge funds,not inherited
1923,82,male,United States,North America,Media,father
1904,41,male,Germany,Europe,Hedge funds,father
1948,59,male,Germany,Europe,Media,father
1946,70,male,United States,North America,Money Management,father
1938,54,male,Greece,Europe,Money Management,father
1960,0,female,Hong Kong,East Asia,Real Estate,spouse/widow
1998,42,male,China,East Asia,Technology-Computer,not inherited
1963,55,male,Malaysia,East Asia,Money Management,not inherited
1677,62,male,United Kingdom,Europe,Real Estate,5th generation or longer
1882,0,male,United Kingdom,Europe,Consumer,father
1941,35,male,Venezuela,Latin America,Consumer,father
1945,75,male,United States,North America,Energy,father
1961,76,male,Japan,East Asia,"Retail, Restaurant",not inherited
1981,58,male,United States,North America,Media,not inherited
1888,55,male,South Africa,Sub-Saharan Africa,Mining and metals,3rd generation
1995,33,male,United States,North America,Technology-Computer,not inherited
1835,79,male,Germany,Europe,Media,4th generation
1886,72,male,United States,North America,Consumer,5th generation or longer
1983,58,male,India,South Asia,Technology-Medical,not inherited
1957,91,male,United States,North America,"Retail, Restaurant",not inherited
1916,87,female,Germany,Europe,Consumer,spouse/widow
1865,84,male,Ireland,Europe,Constrution,father
1962,0,male,United States,North America,Technology-Computer,not inherited
1899,0,male,Japan,East Asia,Consumer,3rd generation
1923,65,male,United States,North America,Media,father
1959,70,male,United States,North America,Consumer,not inherited
1963,0,male,Hong Kong,East Asia,Real Estate,father
1991,53,male,Russia,Europe,Mining and metals,not inherited
1959,71,male,United States,North America,Consumer,not inherited
1890,65,male,Germany,Europe,Money Management,father
1982,75,male,United States,North America,Hedge funds,not inherited
2000,47,male,Ukraine,Europe,Non-consumer industrial,not inherited
1923,0,male,Germany,Europe,"Retail, Restaurant",3rd generation
1962,74,male,Hong Kong,East Asia,Real Estate,not inherited
1882,0,male,Canada,North America,Energy,3rd generation
1891,0,male,Germany,Europe,Consumer,3rd generation
1960,82,male,Mexico,Latin America,Mining and metals,father
1948,55,male,Japan,East Asia,Money Management,father
2000,45,male,China,East Asia,Technology-Computer,not inherited
1944,0,male,Thailand,East Asia,Money Management,not inherited
1919,44,male,United States,North America,Energy,father
1919,75,male,United States,North America,Money Management,not inherited
1964,63,male,United States,North America,Consumer,not inherited
1906,48,male,Switzerland,Europe,Technology-Medical,3rd generation
1944,87,male,Sweden,Europe,Consumer,father
1853,0,male,United States,North America,"Retail, Restaurant",father
1860,0,,Greece,Europe,Money Management,not inherited
1987,68,male,China,East Asia,Consumer,not inherited
1956,0,male,Kuwait,Middle East/North Africa,Money Management,father
1923,76,male,Japan,East Asia,Real Estate,father
1990,71,male,United Kingdom,Europe,Money Management,not inherited
1971,90,male,Malaysia,East Asia,Diversified financial,not inherited
1947,0,male,Saudi Arabia,Middle East/North Africa,Diversified financial,not inherited
1972,51,male,United States,North America,"Retail, Restaurant",father
1959,50,male,Hong Kong,East Asia,Consumer,father
1960,79,male,Singapore,East Asia,Real Estate,not inherited
1993,41,male,Russia,Europe,Energy,not inherited
1921,74,male,Thailand,East Asia,Consumer,father
1960,89,male,Philippines,East Asia,Diversified financial,not inherited
1911,59,male,United States,North America,Consumer,3rd generation
1864,0,male,Netherlands,Europe,Consumer,3rd generation
1864,68,male,United States,North America,Real Estate,not inherited
1867,68,male,Germany,Europe,"Retail, Restaurant",3rd generation
1882,60,male,Canada,North America,"Retail, Restaurant",3rd generation
1986,57,male,United States,North America,Consumer,not inherited
1936,0,male,United States,North America,Media,father
1911,0,female,United States,North America,Consumer,3rd generation
1957,0,male,United States,North America,Real Estate,father
1984,75,male,Malaysia,East Asia,Media,not inherited
1989,52,male,Russia,Europe,Energy,not inherited
1957,69,male,United States,North America,Real Estate,father
1911,0,male,United States,North America,Consumer,father
1889,37,male,Colombia,Latin America,Consumer,father
1938,72,male,South Korea,East Asia,Technology-Computer,father
1913,64,female,Italy,Europe,Consumer,father
1976,68,male,India,South Asia,Technology-Computer,not inherited
1911,64,male,United States,North America,Consumer,3rd generation
1891,0,male,Germany,Europe,Consumer,3rd generation
1962,0,male,United States,North America,Technology-Computer,not inherited
1982,63,male,United States,North America,Non-consumer industrial,not inherited
1946,67,male,United States,North America,Consumer,father
1919,58,male,United States,North America,Energy,father
1962,76,male,Taiwan,East Asia,Hedge funds,not inherited
1947,0,male,South Korea,East Asia,Diversified financial,father
1939,0,male,United States,North America,Technology-Computer,not inherited
1991,49,male,Czech Republic,Europe,Money Management,not inherited
1970,0,male,Singapore,East Asia,Real Estate,father
1992,58,male,United States,North America,Hedge funds,not inherited
1965,72,male,Germany,Europe,"Retail, Restaurant",not inherited
1913,0,male,Indonesia,East Asia,Consumer,father
1899,0,male,Italy,Europe,Consumer,3rd generation
1968,65,male,United States,North America,Private equity/leveraged buyout,not inherited
1923,56,male,Turkey,Middle East/North Africa,Media,not inherited
1960,0,female,Hong Kong,East Asia,Real Estate,spouse/widow
1971,78,male,Malaysia,East Asia,Money Management,not inherited
1988,0,male,United States,North America,Money Management,not inherited
1972,43,female,Israel,Middle East/North Africa,"Retail, Restaurant",father
1988,61,male,United States,North America,Money Management,not inherited
1993,48,male,Russia,Europe,Diversified financial,not inherited
1953,0,male,South Korea,East Asia,Diversified financial,not inherited
1837,57,male,France,Europe,Consumer,4th generation
1993,48,male,Russia,Europe,Non-consumer industrial,not inherited
1974,79,male,Switzerland,Europe,Technology-Medical,not inherited
1972,55,male,Germany,Europe,Technology-Computer,not inherited
1949,55,male,Germany,Europe,Consumer,father
1864,59,female,Netherlands,Europe,Consumer,father
1890,76,male,Germany,Europe,Other,3rd generation
1961,74,male,United States,North America,Diversified financial,not inherited
1849,72,male,Italy,Europe,"Retail, Restaurant",not inherited
1965,78,male,Malaysia,East Asia,Diversified financial,not inherited
1945,0,male,Taiwan,East Asia,Hedge funds,father
1929,92,male,United States,North America,Consumer,not inherited
1857,67,male,United States,North America,Consumer,father
1919,0,male,Brazil,Latin America,Non-consumer industrial,father
1987,51,male,United States,North America,Media,not inherited
1973,58,male,Japan,East Asia,Real Estate,not inherited
1962,72,male,Singapore,East Asia,Real Estate,not inherited
1986,72,male,Switzerland,Europe,Consumer,not inherited
1945,0,male,Germany,Europe,Non-consumer industrial,not inherited
1926,68,male,Turkey,Middle East/North Africa,Consumer,father
1912,53,male,Switzerland,Europe,Money Management,4th generation
1857,64,male,Canada,North America,Consumer,father
1994,46,male,China,East Asia,Energy,not inherited
1994,46,male,Russia,Europe,"Retail, Restaurant",not inherited
1956,0,male,Germany,Europe,Media,not inherited
1847,0,,Germany,Europe,Non-consumer industrial,not inherited
1949,66,male,Denmark,Europe,Consumer,3rd generation
1885,64,male,Brazil,Latin America,Consumer,not inherited
1938,0,male,Greece,Europe,Money Management,father
1963,0,male,Malaysia,East Asia,Mining and metals,not inherited
1905,76,male,United States,North America,"Retail, Restaurant",3rd generation
1864,0,female,Netherlands,Europe,Consumer,father
1975,63,female,France,Europe,Other,spouse/widow
1993,56,male,United States,North America,Hedge funds,not inherited
1940,71,male,United States,North America,Energy,father
1914,0,male,United Kingdom,Europe,Diversified financial,father
1999,49,male,China,East Asia,Technology-Computer,not inherited
1997,62,male,United States,North America,Technology-Medical,not inherited
1985,67,male,United States,North America,Private equity/leveraged buyout,not inherited
1834,0,male,Philippines,East Asia,Money Management,4th generation
1962,0,male,Philippines,East Asia,Money Management,not inherited
1962,0,female,United States,North America,Consumer,father
1857,69,male,Canada,North America,Consumer,father
1970,58,male,United States,North America,Media,not inherited
1966,0,male,India,South Asia,Consumer,not inherited
1851,68,male,France,Europe,Money Management,4th generation
1977,79,male,United States,North America,Real Estate,not inherited
1886,67,male,United States,North America,Consumer,5th generation or longer
1942,77,male,United States,North America,Money Management,father
1960,60,male,Brazil,Latin America,Money Management,not inherited
1931,0,,Germany,Europe,0,father
1949,0,male,Greece,Europe,"Retail, Restaurant",not inherited
1975,79,male,Italy,Europe,Consumer,not inherited
1890,55,male,Hong Kong,East Asia,Money Management,father
1959,66,male,Japan,East Asia,Real Estate,father
1964,64,male,United States,North America,Media,not inherited
1979,71,male,United States,North America,"Retail, Restaurant",not inherited
1857,72,male,United States,North America,Consumer,father
0,58,male,Japan,East Asia,Real Estate,not inherited
1985,0,male,Switzerland,Europe,Money Management,not inherited
1980,58,male,United States,North America,Private equity/leveraged buyout,not inherited
1962,74,male,Japan,East Asia,Money Management,not inherited
1997,69,male,United States,North America,Non-consumer industrial,not inherited
1962,57,male,Taiwan,East Asia,Consumer,father
1962,72,male,Hong Kong,East Asia,Real Estate,not inherited
0,0,male,Japan,East Asia,Real Estate,not inherited
1946,83,male,United States,North America,Money Management,father
1998,58,male,United States,North America,Technology-Computer,not inherited
1997,49,male,Japan,East Asia,"Retail, Restaurant",not inherited
1909,86,male,United States,North America,Media,father
1949,0,male,Japan,East Asia,Real Estate,not inherited
1976,0,male,Japan,East Asia,"Retail, Restaurant",not inherited
1978,52,male,Lebanon,Middle East/North Africa,Constrution,not inherited
1939,0,male,Mexico,Latin America,Media,father
1984,69,male,Austria,Europe,Consumer,not inherited
1975,57,male,Netherlands,Europe,Energy,not inherited
1925,60,male,Brazil,Latin America,Media,father
1925,58,male,Brazil,Latin America,Media,father
1925,66,male,Brazil,Latin America,Media,father
1988,47,male,Russia,Europe,Non-consumer industrial,not inherited
1957,0,male,Saudi Arabia,Middle East/North Africa,Money Management,not inherited
1940,65,male,United States,North America,Energy,father
1940,60,male,United States,North America,Energy,father
1969,72,male,United States,North America,"Retail, Restaurant",not inherited
1969,70,female,United States,North America,Consumer,not inherited
1965,77,male,Germany,Europe,"Retail, Restaurant",not inherited
1996,65,male,France,Europe,"Retail, Restaurant",not inherited
1946,74,male,United States,North America,Consumer,not inherited
1946,59,male,United States,North America,Consumer,father
1945,0,male,Saudi Arabia,Middle East/North Africa,"Retail, Restaurant",father
1905,82,male,Denmark,Europe,Diversified financial,father
1888,50,male,South Africa,Sub-Saharan Africa,Mining and metals,3rd generation
1909,65,male,France,Europe,Consumer,3rd generation
1941,69,male,Thailand,East Asia,Consumer,not inherited
1909,63,male,France,Europe,Consumer,3rd generation
1978,77,male,Italy,Europe,Media,not inherited
1993,65,male,Russia,Europe,Media,not inherited
1906,30,male,Switzerland,Europe,Technology-Medical,3rd generation
1945,0,male,Thailand,East Asia,Money Management,not inherited
1969,65,male,United States,North America,Hedge funds,not inherited
1946,34,female,United States,North America,Money Management,3rd generation
1982,58,male,United States,North America,Non-consumer industrial,not inherited
1982,60,male,Italy,Europe,Hedge funds,not inherited
1899,0,male,Italy,Europe,Consumer,3rd generation
1919,75,male,United States,North America,Money Management,father
1978,57,male,Lebanon,Middle East/North Africa,Constrution,not inherited
1891,37,male,United States,North America,Consumer,4th generation
1999,66,male,Brazil,Latin America,Consumer,not inherited
1950,0,male,Japan,East Asia,"Retail, Restaurant",father
1989,51,male,Russia,Europe,Energy,not inherited
1930,47,male,Russia,Europe,Consumer,not inherited
1940,71,female,United States,North America,Diversified financial,spouse/widow
1972,70,male,Germany,Europe,Technology-Computer,not inherited
1977,69,male,United States,North America,Money Management,not inherited
1931,0,male,Japan,East Asia,Mining and metals,father
1955,0,male,Philippines,East Asia,Real Estate,not inherited
1955,82,male,Chile,Latin America,Energy,not inherited
1930,0,male,Germany,Europe,"Retail, Restaurant",father
1955,70,male,United States,North America,Media,not inherited
1955,33,male,Mexico,Latin America,Media,father
1971,56,male,United States,North America,Media,not inherited
1942,82,male,United States,North America,Money Management,father
1960,84,male,Singapore,East Asia,Real Estate,not inherited
1945,0,male,Saudi Arabia,Middle East/North Africa,"Retail, Restaurant",father
1906,45,male,Mexico,Latin America,"Retail, Restaurant",4th generation
1898,48,male,United States,North America,Constrution,4th generation
1919,53,male,United States,North America,Energy,father
1969,59,male,Saudi Arabia,Middle East/North Africa,Money Management,not inherited
1898,75,male,United States,North America,Constrution,4th generation
1961,0,male,Indonesia,East Asia,Real Estate,not inherited
1881,49,male,Germany,Europe,Technology-Medical,4th generation
1961,60,male,Italy,Europe,Consumer,not inherited
1873,70,female,Sweden,Europe,Diversified financial,4th generation
1909,84,male,United States,North America,Media,father
1882,73,male,Canada,North America,"Retail, Restaurant",3rd generation
1934,0,male,United States,North America,"Retail, Restaurant",3rd generation
1901,72,male,Hong Kong,East Asia,Diversified financial,father
1946,69,male,Italy,Europe,Consumer,not inherited
0,53,male,Japan,East Asia,Real Estate,not inherited
1946,0,male,Japan,East Asia,Consumer,not inherited
1967,0,male,South Korea,East Asia,Diversified financial,not inherited
1949,48,male,Denmark,Europe,Consumer,3rd generation
1999,42,male,United States,North America,Consumer,not inherited
1978,62,male,Hong Kong,East Asia,Real Estate,not inherited
1912,48,male,Switzerland,Europe,Money Management,4th generation
1919,48,male,United States,North America,Energy,father
1890,83,male,Germany,Europe,Diversified financial,father
1906,58,male,Mexico,Latin America,"Retail, Restaurant",4th generation
1888,69,male,Chile,Latin America,Mining and metals,not inherited
1816,0,male,Hong Kong,East Asia,Money Management,4th generation
1972,60,male,Germany,Europe,Technology-Computer,not inherited
1889,73,male,Japan,East Asia,Technology-Computer,3rd generation
1955,0,male,Brazil,Latin America,Money Management,not inherited
1963,59,male,United States,North America,Consumer,not inherited
1906,56,male,Mexico,Latin America,Constrution,3rd generation
1999,48,male,Russia,Europe,Non-consumer industrial,not inherited
1995,46,male,United States,North America,Technology-Computer,not inherited
1999,46,male,France,Europe,Technology-Computer,not inherited
1977,0,male,Indonesia,East Asia,Mining and metals,not inherited
1921,0,male,Japan,East Asia,Technology-Medical,father
1963,0,male,Japan,East Asia,Money Management,not inherited
1851,50,female,Switzerland,Europe,Mining and metals,spouse/widow
1982,61,male,Philippines,East Asia,Money Management,not inherited
1949,87,male,France,Europe,Consumer,not inherited
1961,56,male,United States,North America,Money Management,not inherited
1925,80,male,Brazil,Latin America,Money Management,father
1972,74,male,United States,North America,Media,not inherited
1957,0,male,United States,North America,"Retail, Restaurant",not inherited
1976,54,male,United States,North America,Technology-Computer,not inherited
1895,0,male,Switzerland,Europe,Consumer,3rd generation
1973,55,male,United States,North America,Other,not inherited
1894,66,male,Japan,East Asia,Real Estate,father
1933,43,male,France,Europe,Consumer,father
1945,70,male,United States,North America,Energy,father
1898,63,female,United States,North America,Media,3rd generation
1987,73,male,United States,North America,Technology-Computer,not inherited
1964,76,male,France,Europe,Media,not inherited
1898,66,male,United States,North America,Media,3rd generation
1945,78,male,Germany,Europe,Non-consumer industrial,not inherited
1919,39,male,United States,North America,Energy,father
1925,0,male,Brazil,Latin America,Media,father
1975,0,male,France,Europe,"Retail, Restaurant",not inherited
1954,34,male,Germany,Europe,Real Estate,father
1948,75,female,Germany,Europe,Media,not inherited
1954,92,male,France,Europe,Technology-Medical,not inherited
1940,63,male,South Africa,Sub-Saharan Africa,Consumer,father
1951,73,male,Indonesia,East Asia,Money Management,not inherited
1961,84,male,Taiwan,East Asia,Money Management,not inherited
0,0,,Germany,Europe,Media,not inherited
1800,68,male,United Kingdom,Europe,Money Management,4th generation
1929,75,male,Hong Kong,East Asia,Real Estate,father
1995,36,male,Canada,North America,Technology-Computer,not inherited
1905,0,male,United States,North America,Real Estate,3rd generation
1954,84,male,Taiwan,East Asia,Consumer,not inherited
1857,28,male,India,South Asia,Mining and metals,4th generation
0,0,male,Japan,East Asia,Media,not inherited
1962,69,male,Japan,East Asia,Money Management,not inherited
1947,81,male,United States,North America,Money Management,father
1976,71,male,United States,North America,Technology-Computer,not inherited
1968,72,male,United States,North America,Media,not inherited
1972,74,male,United States,North America,"Retail, Restaurant",not inherited
1972,73,male,Germany,Europe,Technology-Computer,not inherited
1946,80,male,United States,North America,Consumer,father
1919,71,male,Singapore,East Asia,Money Management,father
1930,0,male,Taiwan,East Asia,Money Management,3rd generation
