,demographics.age,demographics.gender,location.citizenship,location.region,wealth.how.industry,wealth.how.inherited
64,73,male,Malaysia,East Asia,Financial,not inherited
65,88,male,Italy,Europe,Consumer,not inherited
66,55,male,Singapore,East Asia,Financial,inherited
67,0,male,Hong Kong,East Asia,Real Estate,inherited
68,56,male,Nigeria,Sub-Saharan Africa,Construction,not inherited
69,94,male,Germany,Europe,"Retail, Restaurant",not inherited
70,70,male,Hong Kong,East Asia,Real Estate,inherited
71,86,male,United States,North America,Media,not inherited
72,85,male,Switzerland,Europe,Technology,not inherited
73,61,male,Mexico,Latin America,Media,not inherited
74,78,male,United States,North America,Financial,not inherited
75,58,male,United States,North America,Consumer,not inherited
76,52,male,France,Europe,Consumer,not inherited
77,83,male,United States,North America,Financial,not inherited
78,52,male,Germany,Europe,"Retail, Restaurant",inherited
79,35,male,Switzerland,Europe,Technology,inherited
80,36,male,United States,North America,Technology,not inherited
81,56,male,Canada,North America,Media,inherited
82,0,male,Hong Kong,East Asia,Consumer,inherited
83,84,male,Hong Kong,East Asia,Real Estate,not inherited
84,0,male,Hong Kong,East Asia,Real Estate,inherited
85,64,male,Italy,Europe,Media,not inherited
86,74,male,Germany,Europe,"Retail, Restaurant",inherited
87,66,male,Japan,East Asia,Financial,not inherited
88,39,female,United States,North America,Financial,inherited
89,58,male,Saudi Arabia,Middle East/North Africa,Financial,not inherited
90,0,male,Brazil,Latin America,Construction,inherited
91,69,male,United States,North America,Consumer,inherited
92,0,female,United States,North America,Consumer,inherited
93,64,male,United States,North America,Consumer,inherited
94,0,female,Sweden,Europe,Consumer,inherited
95,82,male,United States,North America,Consumer,inherited
96,74,female,United States,North America,Consumer,inherited
97,77,male,United States,North America,Consumer,inherited
98,0,male,Indonesia,East Asia,Financial,not inherited
99,73,female,France,Europe,Consumer,inherited
100,0,,Germany,Europe,Technology,not inherited
101,74,male,Brazil,Latin America,Consumer,not inherited
102,59,male,Italy,Europe,Media,not inherited
103,48,male,United States,North America,Media,not inherited
104,62,male,United States,North America,Media,not inherited
105,86,male,Hong Kong,East Asia,Financial,not inherited
106,0,male,Saudi Arabia,Middle East/North Africa,Financial,inherited
107,57,male,United States,North America,Technology,not inherited
108,63,male,Germany,Europe,"Retail, Restaurant",inherited
109,0,male,South Korea,East Asia,Technology,inherited
110,71,male,Japan,East Asia,Financial,not inherited
111,50,male,United States,North America,Consumer,inherited
112,0,male,Saudi Arabia,Middle East/North Africa,Financial,not inherited
113,78,male,Italy,Europe,Consumer,not inherited
114,48,male,United States,North America,"Retail, Restaurant",inherited
115,70,male,United States,North America,Media,inherited
116,56,male,United States,North America,Financial,not inherited
117,76,female,United States,North America,Consumer,inherited
118,74,male,Sweden,Europe,Consumer,inherited
119,55,male,Japan,East Asia,Consumer,inherited
120,60,male,Russia,Europe,Construction,not inherited
121,56,male,India,South Asia,Energy,not inherited
122,47,female,United States,North America,"Retail, Restaurant",inherited
123,52,male,United States,North America,"Retail, Restaurant",inherited
124,55,male,India,South Asia,Technology,inherited
125,56,male,Japan,East Asia,Technology,not inherited
126,70,male,Germany,Europe,"Retail, Restaurant",inherited
127,76,male,United States,North America,Consumer,not inherited
128,0,,Germany,Europe,Construction,not inherited
129,65,male,Spain,Europe,Consumer,not inherited
130,65,male,Italy,Europe,Consumer,not inherited
131,38,male,Japan,East Asia,Media,not inherited
132,69,male,Germany,Europe,Financial,inherited
133,49,male,United Kingdom,Europe,Real Estate,inherited
134,65,male,Japan,East Asia,"Retail, Restaurant",not inherited
135,0,male,Indonesia,East Asia,Financial,not inherited
136,83,male,United States,North America,Real Estate,not inherited
137,60,female,Australia,North America,Construction,inherited
138,0,male,Switzerland,Europe,Technology,not inherited
139,63,male,United States,North America,Financial,not inherited
140,64,male,France,Europe,"Retail, Restaurant",not inherited
141,49,male,Russia,Europe,Energy,not inherited
142,66,male,United States,North America,Media,inherited
143,49,male,United States,North America,Technology,not inherited
144,68,male,United States,North America,Media,inherited
145,0,male,Switzerland,Europe,Technology,not inherited
146,51,female,Germany,Europe,Consumer,inherited
147,56,male,Thailand,East Asia,Consumer,inherited
148,70,male,United States,North America,Financial,not inherited
149,57,male,Kuwait,Middle East/North Africa,Construction,inherited
150,52,female,United States,North America,Financial,inherited
151,0,,Germany,Europe,Technology,inherited
152,56,male,Russia,Europe,Construction,not inherited
153,55,male,United Kingdom,Europe,"Retail, Restaurant",inherited
154,73,male,Hong Kong,East Asia,Real Estate,not inherited
155,63,male,India,South Asia,Construction,inherited
156,0,,France,Europe,Technology,not inherited
157,67,male,United States,North America,Financial,not inherited
158,57,male,Russia,Europe,Construction,not inherited
159,71,male,Japan,East Asia,"Retail, Restaurant",not inherited
160,58,male,United States,North America,Technology,not inherited
161,88,male,Hong Kong,East Asia,Financial,inherited
162,71,male,Japan,East Asia,Real Estate,inherited
163,60,male,Japan,East Asia,Financial,inherited
164,43,male,Japan,East Asia,Media,not inherited
165,75,male,Brazil,Latin America,Financial,not inherited
166,65,male,Turkey,Middle East/North Africa,Financial,inherited
167,61,male,United States,North America,Technology,not inherited
168,72,female,United States,North America,Media,inherited
169,65,male,Italy,Europe,Consumer,not inherited
170,74,male,United States,North America,Real Estate,inherited
171,50,male,United States,North America,Real Estate,inherited
172,58,male,Russia,Europe,Energy,not inherited
173,76,female,United States,North America,Media,inherited
174,94,female,United States,North America,Media,inherited
175,77,male,France,Europe,"Retail, Restaurant",not inherited
176,71,female,Chile,Latin America,Construction,inherited
177,53,male,United States,North America,Financial,not inherited
178,66,male,Japan,East Asia,Real Estate,inherited
179,74,male,Germany,Europe,Technology,inherited
180,72,male,United States,North America,Technology,not inherited
181,57,male,Germany,Europe,Technology,not inherited
182,0,male,France,Europe,"Retail, Restaurant",not inherited
183,72,male,Germany,Europe,"Retail, Restaurant",not inherited
184,68,male,India,South Asia,Technology,inherited
185,61,male,Russia,Europe,Energy,not inherited
186,67,male,Saudi Arabia,Middle East/North Africa,Energy,not inherited
187,52,female,Germany,Europe,"Retail, Restaurant",not inherited
188,0,,Netherlands,Europe,"Retail, Restaurant",not inherited
189,67,male,United States,North America,Technology,not inherited
190,74,male,Germany,Europe,Financial,inherited
191,55,male,Venezuela,Latin America,Media,inherited
192,53,male,Sweden,Europe,Consumer,inherited
193,90,male,Switzerland,Europe,Technology,not inherited
194,59,male,China,East Asia,Real Estate,not inherited
195,0,male,United States,North America,Media,inherited
196,61,male,United States,North America,Media,not inherited
197,39,male,United States,North America,Technology,not inherited
198,47,male,Germany,Europe,Consumer,inherited
199,61,male,Argentina,Latin America,Consumer,inherited
200,60,male,Mexico,Latin America,Construction,not inherited
201,69,male,Germany,Europe,Technology,inherited
202,53,male,Japan,East Asia,Financial,not inherited
203,68,male,United States,North America,Energy,not inherited
204,0,,South Korea,East Asia,Consumer,not inherited
205,0,male,United States,North America,Other,not inherited
206,81,male,United States,North America,Real Estate,not inherited
207,64,male,United States,North America,Financial,not inherited
208,0,male,Canada,North America,Energy,inherited
209,0,male,France,Europe,Consumer,inherited
210,70,male,Germany,Europe,Financial,inherited
211,71,male,United States,North America,Media,inherited
212,57,male,Germany,Europe,"Retail, Restaurant",inherited
213,73,male,United States,North America,Media,inherited
214,42,male,Greece,Europe,Other,inherited
215,49,male,Germany,Europe,Construction,inherited
216,79,male,Taiwan,East Asia,Consumer,not inherited
217,81,male,Colombia,Latin America,Financial,not inherited
218,63,male,Turkey,Middle East/North Africa,Consumer,inherited
219,50,female,United States,North America,Technology,inherited
220,71,male,United States,North America,Financial,not inherited
221,88,male,France,Europe,Other,inherited
222,63,male,Germany,Europe,"Retail, Restaurant",inherited
223,60,male,Malaysia,East Asia,Construction,not inherited
224,76,male,France,Europe,Other,inherited
225,78,male,United States,North America,Real Estate,not inherited
226,60,male,Germany,Europe,Consumer,inherited
227,52,male,Japan,East Asia,"Retail, Restaurant",not inherited
228,69,male,Cyprus,Europe,Other,not inherited
229,63,male,Russia,Europe,Energy,not inherited
230,72,male,United States,North America,Media,inherited
231,0,male,France,Europe,"Retail, Restaurant",not inherited
232,46,male,Germany,Europe,Financial,inherited
233,58,male,United States,North America,Financial,not inherited
234,82,male,United States,North America,Media,inherited
235,41,male,Germany,Europe,Financial,inherited
236,59,male,Germany,Europe,Media,inherited
237,70,male,United States,North America,Financial,inherited
238,54,male,Greece,Europe,Financial,inherited
239,0,female,Hong Kong,East Asia,Real Estate,inherited
240,42,male,China,East Asia,Technology,not inherited
241,55,male,Malaysia,East Asia,Financial,not inherited
242,62,male,United Kingdom,Europe,Real Estate,inherited
243,0,male,United Kingdom,Europe,Consumer,inherited
244,35,male,Venezuela,Latin America,Consumer,inherited
245,75,male,United States,North America,Energy,inherited
246,76,male,Japan,East Asia,"Retail, Restaurant",not inherited
247,58,male,United States,North America,Media,not inherited
248,55,male,South Africa,Sub-Saharan Africa,Construction,inherited
249,33,male,United States,North America,Technology,not inherited
250,79,male,Germany,Europe,Media,inherited
251,72,male,United States,North America,Consumer,inherited
252,58,male,India,South Asia,Technology,not inherited
253,91,male,United States,North America,"Retail, Restaurant",not inherited
254,87,female,Germany,Europe,Consumer,inherited
255,84,male,Ireland,Europe,Construction,inherited
256,0,male,United States,North America,Technology,not inherited
257,0,male,Japan,East Asia,Consumer,inherited
258,65,male,United States,North America,Media,inherited
259,70,male,United States,North America,Consumer,not inherited
260,0,male,Hong Kong,East Asia,Real Estate,inherited
261,53,male,Russia,Europe,Construction,not inherited
262,71,male,United States,North America,Consumer,not inherited
263,65,male,Germany,Europe,Financial,inherited
264,75,male,United States,North America,Financial,not inherited
265,47,male,Ukraine,Europe,Construction,not inherited
266,0,male,Germany,Europe,"Retail, Restaurant",inherited
267,74,male,Hong Kong,East Asia,Real Estate,not inherited
268,0,male,Canada,North America,Energy,inherited
269,0,male,Germany,Europe,Consumer,inherited
270,82,male,Mexico,Latin America,Construction,inherited
271,55,male,Japan,East Asia,Financial,inherited
272,45,male,China,East Asia,Technology,not inherited
273,0,male,Thailand,East Asia,Financial,not inherited
274,44,male,United States,North America,Energy,inherited
275,75,male,United States,North America,Financial,not inherited
276,63,male,United States,North America,Consumer,not inherited
277,48,male,Switzerland,Europe,Technology,inherited
278,87,male,Sweden,Europe,Consumer,inherited
279,0,male,United States,North America,"Retail, Restaurant",inherited
280,0,,Greece,Europe,Financial,not inherited
281,68,male,China,East Asia,Consumer,not inherited
282,0,male,Kuwait,Middle East/North Africa,Financial,inherited
283,76,male,Japan,East Asia,Real Estate,inherited
284,71,male,United Kingdom,Europe,Financial,not inherited
285,90,male,Malaysia,East Asia,Financial,not inherited
286,0,male,Saudi Arabia,Middle East/North Africa,Financial,not inherited
287,51,male,United States,North America,"Retail, Restaurant",inherited
288,50,male,Hong Kong,East Asia,Consumer,inherited
289,79,male,Singapore,East Asia,Real Estate,not inherited
290,41,male,Russia,Europe,Energy,not inherited
291,74,male,Thailand,East Asia,Consumer,inherited
292,89,male,Philippines,East Asia,Financial,not inherited
293,59,male,United States,North America,Consumer,inherited
294,0,male,Netherlands,Europe,Consumer,inherited
295,68,male,United States,North America,Real Estate,not inherited
296,68,male,Germany,Europe,"Retail, Restaurant",inherited
297,60,male,Canada,North America,"Retail, Restaurant",inherited
298,57,male,United States,North America,Consumer,not inherited
299,0,male,United States,North America,Media,inherited
300,0,female,United States,North America,Consumer,inherited
301,0,male,United States,North America,Real Estate,inherited
302,75,male,Malaysia,East Asia,Media,not inherited
303,52,male,Russia,Europe,Energy,not inherited
304,69,male,United States,North America,Real Estate,inherited
305,0,male,United States,North America,Consumer,inherited
306,37,male,Colombia,Latin America,Consumer,inherited
307,72,male,South Korea,East Asia,Technology,inherited
308,64,female,Italy,Europe,Consumer,inherited
309,68,male,India,South Asia,Technology,not inherited
310,64,male,United States,North America,Consumer,inherited
311,0,male,Germany,Europe,Consumer,inherited
312,0,male,United States,North America,Technology,not inherited
313,63,male,United States,North America,Construction,not inherited
314,67,male,United States,North America,Consumer,inherited
315,58,male,United States,North America,Energy,inherited
316,76,male,Taiwan,East Asia,Financial,not inherited
317,0,male,South Korea,East Asia,Financial,inherited
318,0,male,United States,North America,Technology,not inherited
319,49,male,Czech Republic,Europe,Financial,not inherited
320,0,male,Singapore,East Asia,Real Estate,inherited
321,58,male,United States,North America,Financial,not inherited
322,72,male,Germany,Europe,"Retail, Restaurant",not inherited
323,0,male,Indonesia,East Asia,Consumer,inherited
324,0,male,Italy,Europe,Consumer,inherited
325,65,male,United States,North America,Financial,not inherited
326,56,male,Turkey,Middle East/North Africa,Media,not inherited
327,0,female,Hong Kong,East Asia,Real Estate,inherited
328,78,male,Malaysia,East Asia,Financial,not inherited
329,0,male,United States,North America,Financial,not inherited
330,43,female,Israel,Middle East/North Africa,"Retail, Restaurant",inherited
331,61,male,United States,North America,Financial,not inherited
332,48,male,Russia,Europe,Financial,not inherited
333,0,male,South Korea,East Asia,Financial,not inherited
334,57,male,France,Europe,Consumer,inherited
335,48,male,Russia,Europe,Construction,not inherited
336,79,male,Switzerland,Europe,Technology,not inherited
337,55,male,Germany,Europe,Technology,not inherited
338,55,male,Germany,Europe,Consumer,inherited
339,59,female,Netherlands,Europe,Consumer,inherited
340,76,male,Germany,Europe,Other,inherited
341,74,male,United States,North America,Financial,not inherited
342,72,male,Italy,Europe,"Retail, Restaurant",not inherited
343,78,male,Malaysia,East Asia,Financial,not inherited
344,0,male,Taiwan,East Asia,Financial,inherited
345,92,male,United States,North America,Consumer,not inherited
346,67,male,United States,North America,Consumer,inherited
347,0,male,Brazil,Latin America,Construction,inherited
348,51,male,United States,North America,Media,not inherited
349,58,male,Japan,East Asia,Real Estate,not inherited
350,72,male,Singapore,East Asia,Real Estate,not inherited
351,72,male,Switzerland,Europe,Consumer,not inherited
352,0,male,Germany,Europe,Construction,not inherited
353,68,male,Turkey,Middle East/North Africa,Consumer,inherited
354,53,male,Switzerland,Europe,Financial,inherited
355,64,male,Canada,North America,Consumer,inherited
356,46,male,China,East Asia,Energy,not inherited
357,46,male,Russia,Europe,"Retail, Restaurant",not inherited
358,0,male,Germany,Europe,Media,not inherited
359,0,,Germany,Europe,Construction,not inherited
360,66,male,Denmark,Europe,Consumer,inherited
361,64,male,Brazil,Latin America,Consumer,not inherited
362,0,male,Greece,Europe,Financial,inherited
363,0,male,Malaysia,East Asia,Construction,not inherited
364,76,male,United States,North America,"Retail, Restaurant",inherited
365,0,female,Netherlands,Europe,Consumer,inherited
366,63,female,France,Europe,Other,inherited
367,56,male,United States,North America,Financial,not inherited
368,71,male,United States,North America,Energy,inherited
369,0,male,United Kingdom,Europe,Financial,inherited
370,49,male,China,East Asia,Technology,not inherited
371,62,male,United States,North America,Technology,not inherited
372,67,male,United States,North America,Financial,not inherited
373,0,male,Philippines,East Asia,Financial,inherited
374,0,male,Philippines,East Asia,Financial,not inherited
375,0,female,United States,North America,Consumer,inherited
376,69,male,Canada,North America,Consumer,inherited
377,58,male,United States,North America,Media,not inherited
378,0,male,India,South Asia,Consumer,not inherited
379,68,male,France,Europe,Financial,inherited
380,79,male,United States,North America,Real Estate,not inherited
381,67,male,United States,North America,Consumer,inherited
382,77,male,United States,North America,Financial,inherited
383,60,male,Brazil,Latin America,Financial,not inherited
384,0,,Germany,Europe,Other,inherited
385,0,male,Greece,Europe,"Retail, Restaurant",not inherited
386,79,male,Italy,Europe,Consumer,not inherited
387,55,male,Hong Kong,East Asia,Financial,inherited
388,66,male,Japan,East Asia,Real Estate,inherited
389,64,male,United States,North America,Media,not inherited
390,71,male,United States,North America,"Retail, Restaurant",not inherited
391,72,male,United States,North America,Consumer,inherited
392,58,male,Japan,East Asia,Real Estate,not inherited
393,0,male,Switzerland,Europe,Financial,not inherited
394,58,male,United States,North America,Financial,not inherited
395,74,male,Japan,East Asia,Financial,not inherited
396,69,male,United States,North America,Construction,not inherited
397,57,male,Taiwan,East Asia,Consumer,inherited
398,72,male,Hong Kong,East Asia,Real Estate,not inherited
399,0,male,Japan,East Asia,Real Estate,not inherited
400,83,male,United States,North America,Financial,inherited
401,58,male,United States,North America,Technology,not inherited
402,49,male,Japan,East Asia,"Retail, Restaurant",not inherited
403,86,male,United States,North America,Media,inherited
404,0,male,Japan,East Asia,Real Estate,not inherited
405,0,male,Japan,East Asia,"Retail, Restaurant",not inherited
406,52,male,Lebanon,Middle East/North Africa,Construction,not inherited
407,0,male,Mexico,Latin America,Media,inherited
408,69,male,Austria,Europe,Consumer,not inherited
409,57,male,Netherlands,Europe,Energy,not inherited
410,60,male,Brazil,Latin America,Media,inherited
411,58,male,Brazil,Latin America,Media,inherited
412,66,male,Brazil,Latin America,Media,inherited
413,47,male,Russia,Europe,Construction,not inherited
414,0,male,Saudi Arabia,Middle East/North Africa,Financial,not inherited
415,65,male,United States,North America,Energy,inherited
416,60,male,United States,North America,Energy,inherited
417,72,male,United States,North America,"Retail, Restaurant",not inherited
418,70,female,United States,North America,Consumer,not inherited
419,77,male,Germany,Europe,"Retail, Restaurant",not inherited
420,65,male,France,Europe,"Retail, Restaurant",not inherited
421,74,male,United States,North America,Consumer,not inherited
422,59,male,United States,North America,Consumer,inherited
423,0,male,Saudi Arabia,Middle East/North Africa,"Retail, Restaurant",inherited
424,82,male,Denmark,Europe,Financial,inherited
425,50,male,South Africa,Sub-Saharan Africa,Construction,inherited
426,65,male,France,Europe,Consumer,inherited
427,69,male,Thailand,East Asia,Consumer,not inherited
428,63,male,France,Europe,Consumer,inherited
429,77,male,Italy,Europe,Media,not inherited
430,65,male,Russia,Europe,Media,not inherited
431,30,male,Switzerland,Europe,Technology,inherited
432,0,male,Thailand,East Asia,Financial,not inherited
433,65,male,United States,North America,Financial,not inherited
434,34,female,United States,North America,Financial,inherited
435,58,male,United States,North America,Construction,not inherited
436,60,male,Italy,Europe,Financial,not inherited
437,0,male,Italy,Europe,Consumer,inherited
438,75,male,United States,North America,Financial,inherited
439,57,male,Lebanon,Middle East/North Africa,Construction,not inherited
440,37,male,United States,North America,Consumer,inherited
441,66,male,Brazil,Latin America,Consumer,not inherited
442,0,male,Japan,East Asia,"Retail, Restaurant",inherited
443,51,male,Russia,Europe,Energy,not inherited
444,47,male,Russia,Europe,Consumer,not inherited
445,71,female,United States,North America,Financial,inherited
446,70,male,Germany,Europe,Technology,not inherited
447,69,male,United States,North America,Financial,not inherited
448,0,male,Japan,East Asia,Construction,inherited
449,0,male,Philippines,East Asia,Real Estate,not inherited
450,82,male,Chile,Latin America,Energy,not inherited
451,0,male,Germany,Europe,"Retail, Restaurant",inherited
452,70,male,United States,North America,Media,not inherited
453,33,male,Mexico,Latin America,Media,inherited
454,56,male,United States,North America,Media,not inherited
455,82,male,United States,North America,Financial,inherited
456,84,male,Singapore,East Asia,Real Estate,not inherited
457,0,male,Saudi Arabia,Middle East/North Africa,"Retail, Restaurant",inherited
458,45,male,Mexico,Latin America,"Retail, Restaurant",inherited
459,48,male,United States,North America,Construction,inherited
460,53,male,United States,North America,Energy,inherited
461,59,male,Saudi Arabia,Middle East/North Africa,Financial,not inherited
462,75,male,United States,North America,Construction,inherited
463,0,male,Indonesia,East Asia,Real Estate,not inherited
464,49,male,Germany,Europe,Technology,inherited
465,60,male,Italy,Europe,Consumer,not inherited
466,70,female,Sweden,Europe,Financial,inherited
467,84,male,United States,North America,Media,inherited
468,73,male,Canada,North America,"Retail, Restaurant",inherited
469,0,male,United States,North America,"Retail, Restaurant",inherited
470,72,male,Hong Kong,East Asia,Financial,inherited
471,69,male,Italy,Europe,Consumer,not inherited
472,53,male,Japan,East Asia,Real Estate,not inherited
473,0,male,Japan,East Asia,Consumer,not inherited
474,0,male,South Korea,East Asia,Financial,not inherited
475,48,male,Denmark,Europe,Consumer,inherited
476,42,male,United States,North America,Consumer,not inherited
477,62,male,Hong Kong,East Asia,Real Estate,not inherited
478,48,male,Switzerland,Europe,Financial,inherited
479,48,male,United States,North America,Energy,inherited
480,83,male,Germany,Europe,Financial,inherited
481,58,male,Mexico,Latin America,"Retail, Restaurant",inherited
482,69,male,Chile,Latin America,Construction,not inherited
483,0,male,Hong Kong,East Asia,Financial,inherited
484,60,male,Germany,Europe,Technology,not inherited
485,73,male,Japan,East Asia,Technology,inherited
486,0,male,Brazil,Latin America,Financial,not inherited
487,59,male,United States,North America,Consumer,not inherited
488,56,male,Mexico,Latin America,Construction,inherited
489,48,male,Russia,Europe,Construction,not inherited
490,46,male,United States,North America,Technology,not inherited
491,46,male,France,Europe,Technology,not inherited
492,0,male,Indonesia,East Asia,Construction,not inherited
493,0,male,Japan,East Asia,Technology,inherited
494,0,male,Japan,East Asia,Financial,not inherited
495,50,female,Switzerland,Europe,Construction,inherited
496,61,male,Philippines,East Asia,Financial,not inherited
497,87,male,France,Europe,Consumer,not inherited
498,56,male,United States,North America,Financial,not inherited
499,80,male,Brazil,Latin America,Financial,inherited
500,74,male,United States,North America,Media,not inherited
501,0,male,United States,North America,"Retail, Restaurant",not inherited
502,54,male,United States,North America,Technology,not inherited
503,0,male,Switzerland,Europe,Consumer,inherited
504,55,male,United States,North America,Other,not inherited
505,66,male,Japan,East Asia,Real Estate,inherited
506,43,male,France,Europe,Consumer,inherited
507,70,male,United States,North America,Energy,inherited
508,63,female,United States,North America,Media,inherited
509,73,male,United States,North America,Technology,not inherited
510,76,male,France,Europe,Media,not inherited
511,66,male,United States,North America,Media,inherited
512,78,male,Germany,Europe,Construction,not inherited
513,39,male,United States,North America,Energy,inherited
514,0,male,Brazil,Latin America,Media,inherited
515,0,male,France,Europe,"Retail, Restaurant",not inherited
516,34,male,Germany,Europe,Real Estate,inherited
517,75,female,Germany,Europe,Media,not inherited
518,92,male,France,Europe,Technology,not inherited
519,63,male,South Africa,Sub-Saharan Africa,Consumer,inherited
520,73,male,Indonesia,East Asia,Financial,not inherited
521,84,male,Taiwan,East Asia,Financial,not inherited
522,0,,Germany,Europe,Media,not inherited
523,68,male,United Kingdom,Europe,Financial,inherited
524,75,male,Hong Kong,East Asia,Real Estate,inherited
525,36,male,Canada,North America,Technology,not inherited
526,0,male,United States,North America,Real Estate,inherited
527,84,male,Taiwan,East Asia,Consumer,not inherited
528,28,male,India,South Asia,Construction,inherited
529,0,male,Japan,East Asia,Media,not inherited
530,69,male,Japan,East Asia,Financial,not inherited
531,81,male,United States,North America,Financial,inherited
532,71,male,United States,North America,Technology,not inherited
533,72,male,United States,North America,Media,not inherited
534,74,male,United States,North America,"Retail, Restaurant",not inherited
535,73,male,Germany,Europe,Technology,not inherited
536,80,male,United States,North America,Consumer,inherited
537,71,male,Singapore,East Asia,Financial,inherited
538,0,male,Taiwan,East Asia,Financial,inherited
539,75,male,Japan,East Asia,"Retail, Restaurant",not inherited
540,60,male,Germany,Europe,Technology,not inherited
541,55,male,Switzerland,Europe,Construction,inherited
542,0,male,Thailand,East Asia,Real Estate,not inherited
543,62,male,United States,North America,Consumer,inherited
544,59,male,United States,North America,Consumer,inherited
545,71,male,United States,North America,Media,not inherited
546,70,male,United Kingdom,Europe,Other,not inherited
547,85,male,United States,North America,Energy,inherited
548,0,male,Mexico,Latin America,Other,inherited
549,0,female,United States,North America,"Retail, Restaurant",inherited
550,60,male,United States,North America,Media,not inherited
551,63,male,Australia,North America,Media,inherited
552,0,male,Germany,Europe,"Retail, Restaurant",inherited
553,70,male,Turkey,Middle East/North Africa,Financial,inherited
554,77,male,Germany,Europe,"Retail, Restaurant",not inherited
555,47,male,United States,North America,Financial,not inherited
556,55,male,Japan,East Asia,Technology,not inherited
557,57,male,United States,North America,Media,not inherited
558,61,male,France,Europe,Financial,inherited
559,0,male,United States,North America,Consumer,inherited
560,85,male,Canada,North America,Financial,not inherited
561,74,male,Indonesia,East Asia,Consumer,not inherited
562,0,male,Argentina,Latin America,Financial,not inherited
563,0,female,Brazil,Latin America,Construction,not inherited
564,0,male,Italy,Europe,Consumer,inherited
565,72,male,Germany,Europe,Consumer,not inherited
566,67,male,Austria,Europe,"Retail, Restaurant",not inherited
567,68,male,Hong Kong,East Asia,Real Estate,inherited
568,0,male,France,Europe,Consumer,inherited
569,0,male,France,Europe,Financial,not inherited
570,0,,France,Europe,Construction,inherited
571,0,male,Germany,Europe,Financial,inherited
572,71,male,China,East Asia,Consumer,not inherited
573,50,male,Hong Kong,East Asia,Real Estate,inherited
574,73,male,Germany,Europe,Technology,not inherited
575,63,male,Israel,Middle East/North Africa,Real Estate,inherited
576,58,male,New Zealand,North America,Financial,not inherited
577,46,male,India,South Asia,Construction,inherited
578,74,male,United States,North America,Consumer,not inherited
579,0,male,Indonesia,East Asia,Financial,not inherited
580,0,female,Israel,Middle East/North Africa,"Retail, Restaurant",inherited
581,60,male,Italy,Europe,Consumer,not inherited
